room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7193206,27857738,Entire home/apt,CENTRE,MANCHESTER,5,5.0,4,2.0,95.0,1.0,51.003863,-114.070246,2016-09-11 16:45:42.888120
9331384,47980672,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,14,4.0,6,2.0,75.0,2.0,51.048362,-114.074989,2016-09-11 16:45:22.276247
9495732,44967066,Private room,CENTRE,BELTLINE,4,5.0,2,1.0,59.0,10.0,51.038587,-114.059952,2016-09-11 16:45:08.097190
1113425,4730812,Private room,SOUTHEAST,OGDEN,5,4.5,2,1.0,38.0,2.0,50.984872,-114.004743,2016-09-11 16:44:42.647199
14948757,80923647,Entire home/apt,CENTRE,EAU CLAIRE,0,,4,2.0,142.0,7.0,51.053259,-114.06783,2016-09-11 16:44:10.623211
7026059,33930543,Private room,SOUTH,WILLOW PARK,5,5.0,2,1.0,55.0,1.0,50.959325,-114.065426,2016-09-11 16:44:06.548894
5827449,8175696,Private room,CENTRE,TUXEDO PARK,1,,2,1.0,31.0,1.0,51.080206,-114.061384,2016-09-11 16:43:57.254702
13116372,72956130,Entire home/apt,SOUTH,HAYSBORO,3,4.5,2,1.0,79.0,3.0,50.973662,-114.072275,2016-09-11 16:43:54.446851
11438579,58208351,Entire home/apt,CENTRE,BANKVIEW,0,,4,2.0,118.0,3.0,51.031942,-114.09661,2016-09-11 16:43:38.561336
6528688,34146755,Entire home/apt,CENTRE,BELTLINE,1,,2,1.0,216.0,2.0,51.040148,-114.063852,2016-09-11 16:43:27.703351
13453518,33608938,Entire home/apt,CENTRE,RENFREW,21,4.5,6,3.0,87.0,1.0,51.060315,-114.054693,2016-09-11 16:43:25.064340
13045887,67652539,Private room,NORTHEAST,TEMPLE,4,5.0,3,1.0,47.0,1.0,51.090547,-113.949912,2016-09-11 16:43:17.152174
8115639,39392894,Entire home/apt,CENTRE,MOUNT PLEASANT,20,5.0,4,2.0,75.0,2.0,51.071262,-114.071332,2016-09-11 16:42:48.947889
6800725,32269592,Private room,CENTRE,CRESCENT HEIGHTS,12,5.0,2,1.0,39.0,1.0,51.055561,-114.053572,2016-09-11 16:42:31.047224
7239783,12372789,Entire home/apt,CENTRE,CRESCENT HEIGHTS,36,4.5,4,1.0,71.0,1.0,51.060494,-114.06237,2016-09-11 16:41:38.501927
